Email,Issue_Type,Mobile_Number,Description,Priority,Laptop_Brand,Laptop_Model,Issue_Severity,Previous_Repairs,Repair_Time
john.doe@example.com,Motherboard and CPU issues,1234567890,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,4
jane.smith@example.com,Memory(RAM) problems,0987654321,Battery not charging,No,HP,Pavilion,Major,Yes,2
mark.jones@example.com,Graphics card and Display issues,1112223334,,Yes,Apple,MacBook Air,Minor,No,15
lisa.white@example.com,Storage Device Problems,4445556667,Slow performance,No,Lenovo,ThinkPad T480,Moderate,Yes,6
tom.brown@example.com,Power Supply Unit and Power Issues,7778889990,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,15
user3572@example.com,Graphics card and Display issues,0650934707,,Yes,Apple,MacBook Air,Minor,No,3
user2560@test.com,Motherboard and CPU issues,7118399333,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,3
user1312@test.com,Memory(RAM) problems,4605594963,Battery not charging,No,HP,Pavilion,Major,Yes,4
user7887@email.com,Memory(RAM) problems,9996932356,Battery not charging,No,HP,Pavilion,Major,Yes,5
user1503@email.com,Motherboard and CPU issues,7705259421,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,14
user3767@email.com,Motherboard and CPU issues,2700901089,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,12
user2179@example.com,Memory(RAM) problems,7799880950,Battery not charging,No,HP,Pavilion,Major,Yes,10
user2580@email.com,Memory(RAM) problems,4399194384,Battery not charging,No,HP,Pavilion,Major,Yes,3
user3820@email.com,Motherboard and CPU issues,0910876623,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,8
user9698@test.com,Memory(RAM) problems,1418722153,Battery not charging,No,HP,Pavilion,Major,Yes,8
user9393@example.com,Power Supply Unit and Power Issues,9399669844,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,6
user3025@example.com,Memory(RAM) problems,3938326783,Battery not charging,No,HP,Pavilion,Major,Yes,3
user9499@example.com,Memory(RAM) problems,0321919527,Battery not charging,No,HP,Pavilion,Major,Yes,8
user8731@test.com,Power Supply Unit and Power Issues,5206289812,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,6
user9609@example.com,Storage Device Problems,1602087113,Slow performance,No,Lenovo,ThinkPad T480,Moderate,Yes,8
user6015@email.com,Memory(RAM) problems,4608285307,Battery not charging,No,HP,Pavilion,Major,Yes,15
user9727@email.com,Memory(RAM) problems,0471587173,Battery not charging,No,HP,Pavilion,Major,Yes,1
user6570@email.com,Graphics card and Display issues,6030037263,,Yes,Apple,MacBook Air,Minor,No,8
user4560@test.com,Memory(RAM) problems,3106829832,Battery not charging,No,HP,Pavilion,Major,Yes,14
user6947@example.com,Storage Device Problems,8593395954,Slow performance,No,Lenovo,ThinkPad T480,Moderate,Yes,8
user9212@test.com,Motherboard and CPU issues,1437049638,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,4
user5716@test.com,Power Supply Unit and Power Issues,7943133207,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,2
user8605@example.com,Memory(RAM) problems,6290782136,Battery not charging,No,HP,Pavilion,Major,Yes,3
user9895@example.com,Motherboard and CPU issues,8726607793,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,15
user2228@test.com,Memory(RAM) problems,6431517210,Battery not charging,No,HP,Pavilion,Major,Yes,7
user6447@test.com,Memory(RAM) problems,6650280953,Battery not charging,No,HP,Pavilion,Major,Yes,4
user7942@test.com,Motherboard and CPU issues,6002676553,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,5
user5324@email.com,Motherboard and CPU issues,7776354541,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,3
user6855@test.com,Memory(RAM) problems,9191544428,Battery not charging,No,HP,Pavilion,Major,Yes,11
user7575@test.com,Memory(RAM) problems,1091151679,Battery not charging,No,HP,Pavilion,Major,Yes,13
user4858@example.com,Motherboard and CPU issues,0801067276,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,6
user3101@test.com,Memory(RAM) problems,9307402148,Battery not charging,No,HP,Pavilion,Major,Yes,7
user9352@test.com,Memory(RAM) problems,0944022737,Battery not charging,No,HP,Pavilion,Major,Yes,9
user7236@example.com,Storage Device Problems,7572050455,Slow performance,No,Lenovo,ThinkPad T480,Moderate,Yes,10
user1575@email.com,Power Supply Unit and Power Issues,9740555445,Hard drive failure,Yes,Acer,Aspire 5,Major,Yes,12
user5210@example.com,Motherboard and CPU issues,6048533805,Screen flickering,Yes,Dell,Inspiron 15,Moderate,No,12
